rank,feature,group,mean_abs_shap
1,eyeball_asym_right_voxels,Eyeball,0.0120158297035146
2,lateral_rectus_shape_volume_mm3,Lateral Rectus,0.0108738263860412
3,lateral_rectus_shape_volume_voxels,Lateral Rectus,0.0090317241760565
4,lateral_rectus_asym_left_voxels,Lateral Rectus,0.0086161854979371
5,ratio_mr_to_lr,Clinical,0.008446259311772
6,muscle_shape_volume_mm3,Muscle (generic),0.0080099656173222
7,muscle_int_kurtosis,Muscle (generic),0.0078376772914791
8,muscle_asym_left_voxels,Muscle (generic),0.0076878973747531
9,muscle_shape_volume_voxels,Muscle (generic),0.0076383141445094
10,lateral_rectus_asym_right_voxels,Lateral Rectus,0.0073708447840658
11,optic_nerve_shape_volume_voxels,Optic Nerve,0.007183143138472
12,fat_shape_ar_dx_dz,Fat,0.0064711021363231
13,ratio_muscle_to_eyeball,Clinical,0.0062821459964586
14,eyeball_int_skewness,Eyeball,0.0061627090991981
15,fat_int_skewness,Fat,0.006143324283119
16,optic_nerve_shape_volume_mm3,Optic Nerve,0.0060658217197445
17,muscle_int_skewness,Muscle (generic),0.0057539828986987
18,optic_nerve_int_skewness,Optic Nerve,0.005495752561166
19,eyeball_int_kurtosis,Eyeball,0.0054647222015463
20,optic_nerve_asym_left_voxels,Optic Nerve,0.00528173807776
21,ratio_fat_to_muscle,Clinical,0.0051882532425836
22,eyeball_tex_contrast,Eyeball,0.0050815085139575
23,eyeball_shape_volume_mm3,Eyeball,0.0050574261228929
24,ratio_nerve_to_fat,Clinical,0.0049947185902198
25,optic_nerve_tex_energy,Optic Nerve,0.0049586618520972
26,ratio_total_muscle_to_fat,Clinical,0.0049057114132762
27,optic_nerve_tex_homogeneity,Optic Nerve,0.0046802738507055
28,eyeball_shape_volume_voxels,Eyeball,0.004415002592328
29,optic_nerve_int_kurtosis,Optic Nerve,0.0043640725806164
30,superior_rectus_int_kurtosis,Superior Rectus,0.004349800867958
