rank,feature,group,mean_abs_shap,pct_of_total,cumulative_pct
1,eyeball_asym_right_voxels,Eyeball,0.0120158297035146,2.4336407743778943,2.4336407743778943
2,lateral_rectus_shape_volume_mm3,Lateral Rectus,0.0108738263860412,2.202343734851346,4.635984509229241
3,lateral_rectus_shape_volume_voxels,Lateral Rectus,0.0090317241760565,1.829251309325448,6.465235818554689
4,lateral_rectus_asym_left_voxels,Lateral Rectus,0.0086161854979371,1.7450896746023232,8.210325493157011
5,ratio_mr_to_lr,Clinical,0.008446259311772,1.7106734665259926,9.920998959683004
6,muscle_shape_volume_mm3,Muscle (generic),0.0080099656173222,1.6223081891697035,11.543307148852708
7,muscle_int_kurtosis,Muscle (generic),0.0078376772914791,1.5874135622428232,13.130720711095531
8,muscle_asym_left_voxels,Muscle (generic),0.0076878973747531,1.5570777035030223,14.687798414598555
9,muscle_shape_volume_voxels,Muscle (generic),0.0076383141445094,1.5470353032839896,16.234833717882545
10,lateral_rectus_asym_right_voxels,Lateral Rectus,0.0073708447840658,1.492863069028545,17.72769678691109
11,optic_nerve_shape_volume_voxels,Optic Nerve,0.007183143138472,1.454846686522617,19.182543473433704
12,fat_shape_ar_dx_dz,Fat,0.0064711021363231,1.3106325907326604,20.493176064166367
13,ratio_muscle_to_eyeball,Clinical,0.0062821459964586,1.272362127694324,21.76553819186069
14,eyeball_int_skewness,Eyeball,0.0061627090991981,1.2481718295367765,23.013710021397465
15,fat_int_skewness,Fat,0.006143324283119,1.244245702088406,24.25795572348587
16,optic_nerve_shape_volume_mm3,Optic Nerve,0.0060658217197445,1.2285486255651075,25.486504349050982
17,muscle_int_skewness,Muscle (generic),0.0057539828986987,1.165389968305758,26.65189431735674
18,optic_nerve_int_skewness,Optic Nerve,0.005495752561166,1.1130889708625995,27.764983288219337
19,eyeball_int_kurtosis,Eyeball,0.0054647222015463,1.1068041990010258,28.871787487220363
20,optic_nerve_asym_left_voxels,Optic Nerve,0.00528173807776,1.0697432855478417,29.941530772768203
21,ratio_fat_to_muscle,Clinical,0.0051882532425836,1.0508092200455037,30.99233999281371
22,eyeball_tex_contrast,Eyeball,0.0050815085139575,1.029189545795427,32.02152953860914
23,eyeball_shape_volume_mm3,Eyeball,0.0050574261228929,1.0243119892483181,33.045841527857455
24,ratio_nerve_to_fat,Clinical,0.0049947185902198,1.011611442374784,34.05745297023224
25,optic_nerve_tex_energy,Optic Nerve,0.0049586618520972,1.0043086467916744,35.06176161702391
26,ratio_total_muscle_to_fat,Clinical,0.0049057114132762,0.993584264862535,36.055345881886446
27,optic_nerve_tex_homogeneity,Optic Nerve,0.0046802738507055,0.9479249922292062,37.00327087411565
28,eyeball_shape_volume_voxels,Eyeball,0.004415002592328,0.8941979532658304,37.89746882738148
29,optic_nerve_int_kurtosis,Optic Nerve,0.0043640725806164,0.88388278101396,38.78135160839544
30,superior_rectus_int_kurtosis,Superior Rectus,0.004349800867958,0.8809922422244889,39.66234385061993
31,medial_rectus_shape_ar_dx_dy,Medial Rectus,0.0039022088069396,0.7903386363679075,40.45268248698783
32,optic_nerve_tex_correlation,Optic Nerve,0.0038268335045242,0.775072407246374,41.22775489423421
33,muscle_shape_ar_dx_dz,Muscle (generic),0.0037006389714008,0.7495134430391117,41.97726833727332
34,medial_rectus_tex_correlation,Medial Rectus,0.0036439834603873,0.7380386497790724,42.715306987052394
35,muscle_tex_homogeneity,Muscle (generic),0.0035665666723743,0.7223589458735903,43.43766593292598
36,Age,Clinical,0.0034338320373617,0.6954753741262022,44.133141307052185
37,eyeball_tex_correlation,Eyeball,0.0033576368204054,0.6800430826096885,44.81318438966188
38,fat_asym_asymmetry,Fat,0.0033447461606406,0.6774322570582016,45.49061664672007
39,medial_rectus_asym_asymmetry,Medial Rectus,0.0033176594580298,0.6719462185953056,46.16256286531538
40,fat_asym_right_voxels,Fat,0.0032261315970279,0.6534085112524107,46.81597137656779
41,optic_nerve_asym_right_voxels,Optic Nerve,0.0031800324172012,0.6440717574484831,47.460043134016274
42,medial_rectus_tex_contrast,Medial Rectus,0.0031263050910156,0.6331900276861736,48.09323316170245
43,eyeball_asym_left_voxels,Eyeball,0.0030435638949362,0.6164319382767735,48.70966509997922
44,fat_asym_left_voxels,Fat,0.0030246692138938,0.6126050809279049,49.32227018090713
45,fat_shape_volume_voxels,Fat,0.0030030250447902,0.608221352649645,49.93049153355677
46,inferior_rectus_tex_energy,Inferior Rectus,0.0029458942835167,0.5966503039965693,50.52714183755334
47,fat_shape_volume_mm3,Fat,0.0028789032957253,0.5830822022984139,51.11022403985176
48,muscle_tex_correlation,Muscle (generic),0.0028663997998442,0.5805497914579365,51.69077383130969
49,lateral_rectus_shape_ar_dx_dz,Lateral Rectus,0.0028282023879738,0.5728134318974876,52.26358726320719
50,superior_rectus_tex_energy,Superior Rectus,0.0027340052553643,0.553735100362803,52.81732236357
51,optic_nerve_asym_asymmetry,Optic Nerve,0.0024588517993592,0.4980065584087555,53.31532892197875
52,medial_rectus_shape_volume_mm3,Medial Rectus,0.0024437687701759,0.49495169863399724,53.81028062061274
53,medial_rectus_shape_bb_dx_mm,Medial Rectus,0.0024056054137913,0.48722223654304314,54.29750285715579
54,muscle_tex_energy,Muscle (generic),0.0024039406913419,0.4868850699444106,54.7843879271002
55,lateral_rectus_shape_ar_dy_dz,Lateral Rectus,0.0023854489335367,0.4831398191464991,55.2675277462467
56,lateral_rectus_tex_correlation,Lateral Rectus,0.0023851446829323,0.48307819737798496,55.750605943624684
57,lacrimal_gland_asym_asymmetry,Lacrimal Gland,0.002381061055923,0.4822511149839762,56.232857058608666
58,muscle_shape_bb_dz_mm,Muscle (generic),0.0023350570338182,0.47293363406571093,56.70579069267438
59,DiseaseDuration,Clinical,0.0023151982986015,0.46891152082480836,57.17470221349919
60,inferior_rectus_tex_contrast,Inferior Rectus,0.0022678237538263,0.4593164594202019,57.63401867291938
61,eyeball_shape_ar_dx_dy,Eyeball,0.0022289006308572,0.45143311707422806,58.085451789993606
62,ratio_nerve_to_eyeball,Clinical,0.0021726204272958,0.44003433716831364,58.525486127161926
63,medial_rectus_shape_volume_voxels,Medial Rectus,0.0021263531855019,0.43066354472817936,58.95614967189011
64,inferior_rectus_asym_asymmetry,Inferior Rectus,0.0021200165447724,0.42938014544303604,59.385529817333136
65,superior_rectus_tex_homogeneity,Superior Rectus,0.002103854258152,0.42610669694242326,59.81163651427557
66,lateral_rectus_shape_bb_dz_mm,Lateral Rectus,0.0020987594461791,0.4250748129642897,60.23671132723985
67,lateral_rectus_shape_bb_dx,Lateral Rectus,0.0020718659856375,0.4196279130203751,60.65633924026024
68,fat_tex_homogeneity,Fat,0.0020620817136303,0.41764624351507573,61.07398548377532
69,optic_nerve_shape_ar_dy_dz,Optic Nerve,0.002054192593542,0.4160484109230213,61.490033894698335
70,inferior_rectus_tex_homogeneity,Inferior Rectus,0.0020521860855584,0.41564202037293096,61.90567591507127
71,lateral_rectus_tex_energy,Lateral Rectus,0.0020493411899799,0.41506582596526054,62.320741741036535
72,superior_rectus_shape_bb_dx,Superior Rectus,0.0020417968374708,0.4135378212967976,62.73427956233333
73,superior_rectus_shape_ar_dx_dy,Superior Rectus,0.0020217163260488,0.4094707903407375,63.14375035267407
74,muscle_asym_right_voxels,Muscle (generic),0.0019325043134585,0.39140212619009934,63.53515247886416
75,eyeball_shape_ar_dy_dz,Eyeball,0.0018900708731151,0.38280781741867714,63.917960296282835
76,medial_rectus_int_kurtosis,Medial Rectus,0.0018859258354475,0.3819682971418332,64.29992859342467
77,eyeball_int_mean,Eyeball,0.0018402074273821,0.37270866341258185,64.67263725683726
78,lacrimal_gland_shape_volume_voxels,Lacrimal Gland,0.0018392478179296,0.37251430773771743,65.04515156457498
79,medial_rectus_shape_bb_dx,Medial Rectus,0.001790758888121,0.3626935429965494,65.40784510757153
80,inferior_rectus_shape_ar_dx_dy,Inferior Rectus,0.0017604410024804,0.3565530729242822,65.76439818049582
81,eyeball_shape_bb_dy,Eyeball,0.0017581854863129,0.35609624919692107,66.12049442969273
82,medial_rectus_shape_bb_dy,Medial Rectus,0.0017163887123268,0.34763088842534834,66.46812531811808
83,eyeball_asym_asymmetry,Eyeball,0.0017087271018167,0.3460791347641486,66.81420445288224
84,muscle_shape_ar_dy_dz,Muscle (generic),0.0016986387180834,0.3440358716182213,67.15824032450045
85,superior_rectus_tex_correlation,Superior Rectus,0.0016901341962093,0.3423133978723305,67.50055372237279
86,inferior_rectus_int_kurtosis,Inferior Rectus,0.0016732309479498,0.3388898777993289,67.83944360017212
87,eyeball_int_median,Eyeball,0.0016711659717987,0.3384716453273786,68.17791524549949
88,inferior_rectus_asym_right_voxels,Inferior Rectus,0.001671139267391,0.3384662367174834,68.51638148221699
89,optic_nerve_shape_ar_dx_dy,Optic Nerve,0.0016707462576934,0.3383866380174014,68.85476812023438
90,inferior_rectus_int_std,Inferior Rectus,0.0016699041353999,0.3382160777480698,69.19298419798245
91,inferior_rectus_int_mean,Inferior Rectus,0.0016664938637501,0.3375253742058724,69.53050957218832
92,fat_tex_correlation,Fat,0.0016650551536851,0.33723398330211585,69.86774355549045
93,lateral_rectus_shape_bb_dy,Lateral Rectus,0.0016627968719289,0.3367765994428627,70.2045201549333
94,eyeball_shape_bb_dy_mm,Eyeball,0.0016543149387543,0.33505870072687,70.53957885566017
95,lacrimal_gland_asym_left_voxels,Lacrimal Gland,0.001654211228661,0.33503769567619957,70.87461655133637
